Description,Data.Protein,Data.Vitamins.Vitamin C,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Fat.Total Lipid,Data.Sugar Total,Data.Major Minerals.Sodium,Category
"Gogu leaves, green",1.86,29.65,145.0,7.65,1.09,0.01,12.34,Gogu leaves
"Gogu leaves, red",1.85,35.43,129.0,9.56,1.07,0.01,14.08,Gogu leaves
"Knol-Khol, leaves",3.12,71.11,368.0,2.51,0.35,0.1,26.8,Knol-Khol
Lettuce,1.54,11.91,56.71,2.73,0.27,0.22,17.53,Lettuce
Mustard leaves,3.52,60.32,191.0,2.84,0.51,0.04,19.14,Mustard leaves
Pak Choi leaves,1.41,55.6,150.0,3.78,0.25,0.52,33.73,Pak Choi leaves
Parsley,5.55,133.0,288.0,5.51,1.14,0.69,53.08,Parsley
Ponnaganni,5.29,103.0,388.0,3.88,0.71,0.44,39.36,Ponnaganni
"Pumpkin leaves, tender",4.21,12.33,271.0,5.58,0.74,0.1,12.2,Pumpkin leaves
Radish leaves,2.22,65.76,234.0,3.82,0.51,0.29,17.39,Radish leaves
Rumex leaves,1.62,53.76,131.0,3.67,0.33,0.45,19.95,Rumex leaves
Spinach,2.14,30.28,82.29,2.95,0.64,0.24,42.55,Spinach
"Tamarind leaves, tender",5.84,28.22,66.93,2.84,0.49,0.17,13.43,Tamarind leaves
Ash gourd,0.79,11.41,19.39,0.47,0.14,0.19,0.77,Ash gourd
"Bamboo shoot, tender",1.33,15.74,10.0,0.33,0.35,0.09,1.12,Bamboo shoot
"Bean scarlet, tender",2.86,6.61,43.48,0.73,0.99,1.03,1.46,Bean scarlet
"Bitter gourd, jagged, teeth ridges, elongate",1.44,46.53,21.36,1.15,0.24,0.04,13.09,Bitter gourd
"Bitter gourd, jagged, teeth ridges, short",1.34,50.87,16.27,1.08,0.24,0.06,12.59,Bitter gourd
"Bitter gourd, jagged, smooth ridges, elongate",1.61,54.3,17.62,1.28,0.26,0.08,11.16,Bitter gourd
"Bottle gourd, elongate, pale green",0.53,4.33,15.42,0.26,0.13,0.36,1.46,Bottle gourd
"Bottle gourd, round, pale green",0.42,4.54,15.05,0.28,0.12,0.34,1.52,Bottle gourd
"Bottle gourd, elongate, dark green",0.49,3.8,16.64,0.34,0.13,0.39,1.35,Bottle gourd
Brinjal-1,1.77,1.58,22.17,0.49,0.39,0.88,3.15,Brinjal-1
Brinjal-2,1.82,1.03,17.13,0.44,0.34,0.98,3.92,Brinjal-2
Brinjal-3,1.36,2.34,14.58,0.34,0.33,0.93,3.12,Brinjal-3
Brinjal-4,1.51,2.22,13.39,0.38,0.31,0.86,3.31,Brinjal-4
Brinjal-5,1.38,3.15,17.03,0.36,0.29,0.99,4.03,Brinjal-5
Brinjal-6,1.46,1.49,17.17,0.39,0.29,1.0,3.75,Brinjal-6
Brinjal-7,1.4,1.08,19.95,0.27,0.37,1.38,3.45,Brinjal-7
Brinjal-8,1.82,1.89,21.0,0.42,0.33,0.79,4.73,Brinjal-8
Brinjal-9,1.47,1.72,18.79,0.38,0.35,0.91,3.08,Brinjal-9
Brinjal-10,1.68,2.4,15.59,0.41,0.25,0.86,4.35,Brinjal-10
Brinjal-11,1.43,2.24,15.92,0.37,0.31,1.05,3.47,Brinjal-11
Brinjal-12,1.6,2.55,19.85,0.37,0.27,1.22,3.88,Brinjal-12
Brinjal-13,1.49,1.49,18.95,0.32,0.31,1.15,3.0,Brinjal-13
Brinjal-14,1.56,1.83,14.43,0.32,0.35,0.88,3.71,Brinjal-14
Brinjal-15,1.58,2.01,17.82,0.36,0.29,0.82,3.34,Brinjal-15
Brinjal-16,1.26,1.53,18.33,0.32,0.34,0.99,3.22,Brinjal-16
Brinjal-17,1.18,1.95,20.83,0.5,0.36,0.85,3.09,Brinjal-17
Brinjal-18,1.47,1.97,16.24,0.38,0.33,1.44,3.63,Brinjal-18
Brinjal-19,1.26,2.53,16.1,0.32,0.31,0.96,3.11,Brinjal-19
Brinjal-20,1.44,2.21,14.36,0.33,0.34,0.76,3.58,Brinjal-20
Brinjal-21,1.36,1.38,15.27,0.34,0.35,0.93,3.06,Brinjal-21
Brinjal - all varieties,1.48,2.09,16.59,0.37,0.32,0.97,3.55,Brinjal - all varieties
Broad beans,3.85,10.98,64.37,0.94,0.15,1.22,20.74,Broad beans
"Capsicum, green",1.11,123.0,14.75,0.48,0.34,0.86,1.84,Capsicum
"Capsicum, red",1.47,112.0,15.76,0.38,0.47,0.93,1.7,Capsicum
"Capsicum, yellow",1.35,127.0,19.13,0.69,0.41,0.97,1.56,Capsicum
Cauliflower,2.15,47.14,25.16,0.96,0.44,0.47,30.72,Cauliflower
Celery stalk,0.98,12.3,38.73,1.36,0.24,0.75,10.68,Celery stalk
Cho-cho-marrow,0.66,20.21,18.64,0.48,0.15,0.76,1.28,Cho-cho-marrow
Cluster beans,3.55,17.96,121.0,3.9,0.37,0.12,4.05,Cluster beans
"Colocasia, stem, black",0.76,5.15,29.46,0.77,0.34,0.53,0.45,Colocasia
"Colocasia, stem, green",0.91,5.83,40.21,0.55,0.22,0.25,0.6,Colocasia
"Corn, Baby",2.69,8.59,76.51,1.45,1.33,0.49,1.4,Corn
"Cucumber, green, elongate",0.71,6.11,16.39,0.46,0.16,0.27,6.33,Cucumber
"Cucumber, green, short",0.83,6.21,19.25,0.59,0.18,0.21,6.11,Cucumber
"Cucumber, orange, round",0.98,6.24,21.98,0.45,0.24,0.22,8.16,Cucumber
Drumstick,2.62,71.86,33.3,0.73,0.12,1.47,22.38,Drumstick
"Field beans, tender, broad",3.06,5.99,70.57,1.95,0.64,0.95,14.14,Field beans
"Field beans, tender, lean",3.71,3.84,58.59,1.48,0.6,0.76,12.76,Field beans
"French beans, country",2.49,15.81,55.99,1.25,0.26,1.06,8.84,French beans
"French beans, hybrid",2.12,1.38,49.9,0.98,0.19,1.0,9.18,French beans
"Jack fruit, raw",1.98,17.51,45.74,0.31,0.35,2.02,3.53,Jack fruit
"Jack fruit, seed, mature",5.79,9.68,37.56,0.37,0.44,2.23,4.0,Jack fruit
Knol - Khol,1.58,64.7,35.26,0.24,0.35,0.43,27.46,Knol - Khol
"Kovai, big",1.39,17.62,34.39,0.38,0.24,0.98,1.53,Kovai
"Kovai, small",1.22,21.08,37.12,0.29,0.24,1.07,2.2,Kovai
Ladies finger,2.08,22.51,86.12,0.84,0.22,0.48,7.37,Ladies finger
"Mango, green, raw",0.69,90.24,27.0,0.4,0.08,2.42,33.15,Mango
"Onion, stalk",2.07,27.23,31.12,3.09,0.26,0.41,15.52,Onion
"Papaya, raw",0.5,20.73,22.72,0.2,0.23,3.63,7.55,Papaya
Parwar,1.4,19.24,30.76,0.5,0.3,0.37,2.29,Parwar
"Peas, fresh",7.25,38.4,28.24,1.58,0.13,0.97,3.66,Peas
"Plantain, flower",1.47,6.49,34.06,0.4,0.63,0.17,7.51,Plantain
"Plantain, green",1.18,23.28,13.8,0.34,0.23,0.86,18.57,Plantain
"Plantain, stem",0.35,3.77,11.24,0.26,0.16,0.65,23.17,Plantain
"Pumpkin, green, cylindrical",0.87,7.29,24.1,0.29,0.18,2.9,5.21,Pumpkin
"Pumpkin, orange, round",0.84,8.04,23.06,0.36,0.16,2.97,8.81,Pumpkin
"Red gram, tender, fresh",8.09,15.13,58.58,1.18,0.92,0.55,2.54,Red gram
Ridge gourd,0.91,5.42,13.7,0.42,0.14,0.62,4.71,Ridge gourd
"Ridge gourd, smooth skin",0.98,8.1,14.96,0.5,0.13,0.41,6.27,Ridge gourd
"Snake gourd, long, pale green",0.98,2.72,24.6,0.32,0.25,0.42,7.07,Snake gourd
"Snake gourd, long, dark green",0.89,2.85,27.11,0.47,0.25,0.45,5.04,Snake gourd
"Snake gourd, short",0.54,2.3,17.9,0.2,0.26,0.46,2.5,Snake gourd
"Tinda, tender",1.02,14.2,19.68,0.41,0.17,0.44,20.61,Tinda
"Tomato, green",1.12,16.41,8.49,0.42,0.27,0.83,13.11,Tomato
"Tomato, ripe, hybrid",0.76,25.27,8.9,0.22,0.25,1.82,11.86,Tomato
"Tomato, ripe, local",0.9,27.47,10.17,0.3,0.47,1.34,9.73,Tomato
"Zucchini, green",1.1,15.78,17.26,0.52,0.51,0.14,0.4,Zucchini
"Zucchini, yellow",1.31,16.71,20.98,0.34,0.44,0.29,0.39,Zucchini
"Apple, big",0.29,3.57,13.68,0.26,0.64,9.53,1.43,Apple
"Apple, green",0.46,2.9,6.53,0.2,0.5,8.39,1.47,Apple
"Apple, small",0.31,4.0,5.39,0.25,0.53,9.8,1.45,Apple
"Apple, small, Kashmir",0.27,4.24,4.72,0.21,0.6,9.15,1.22,Apple
"Apricot, dried",3.17,0.42,28.57,2.5,0.74,25.72,3.94,Apricot
"Apricot, processed",1.47,7.98,5.42,1.12,0.64,4.36,1.6,Apricot
Avocado fruit,2.95,9.36,28.48,0.81,13.86,1.65,2.81,Avocado fruit
Bael fruit,2.63,7.5,47.95,0.23,0.57,16.35,1.56,Bael fruit
"Banana, ripe, montham",1.25,8.06,6.77,0.4,0.32,14.9,1.25,Banana
"Banana, ripe, poovam",1.49,6.74,8.73,0.35,0.35,12.54,1.0,Banana
"Banana, ripe, red",1.29,6.74,9.56,0.24,0.29,14.57,1.11,Banana
"Banana, ripe, robusta",1.23,4.76,5.07,0.28,0.33,13.65,0.85,Banana
Black berry,0.92,19.45,23.81,0.63,0.63,7.61,1.21,Black berry
"Cherries, red",1.49,8.82,23.88,0.36,0.46,10.72,1.64,Cherries
"Currants, black",1.51,182.0,40.32,1.36,0.53,6.33,1.45,Currants
Custard apple,1.62,21.51,28.2,0.42,0.67,13.35,3.11,Custard apple
"Dates, dry, pale brown",2.45,4.42,71.2,3.2,0.35,66.63,3.27,Dates
"Dates, dry, dark brown",2.38,3.84,66.13,4.79,0.35,68.84,3.09,Dates
"Dates, processed",1.18,15.51,15.73,0.89,0.41,56.96,1.6,Dates
Fig,2.03,16.92,78.52,0.69,0.37,8.64,2.37,Fig
Goosberry,0.34,252.0,20.14,1.25,0.16,3.39,1.37,Goosberry
"Grapes, seeded, round, black",0.76,18.3,10.57,0.22,0.32,10.02,1.93,Grapes
"Grapes, seeded, round, green",0.77,17.1,11.16,0.24,0.29,9.59,1.89,Grapes
"Grapes, seeded, round, red",0.95,20.59,11.27,0.33,0.29,10.47,1.59,Grapes
"Grapes, seedless, oval, black",1.41,27.32,15.26,0.28,0.46,9.19,1.83,Grapes
"Grapes, seedless, round, green",0.62,16.47,14.22,0.24,0.26,9.6,1.81,Grapes
